Question,Option 1,Option 2,Option 3,Option 4,Option 5,Correct Answer,Time,Image Link
Ada berapa bilangan bulat diantara 1 dan 2022 yang tidak habis dibagi 3 dan tidak habis dibagi 5?,666,778,944,1078,1244,4,120,
"OAX, LEV, ???, FMR",IIT,IJS,GIT,GJS,IKS,1,90,
Berapakah selisih antara bilangan genap dan ganjil di antara 256 dan 613?,175,177,178,180,181,3,120,
"Sebuah kubus 6x6x6 dicat warna kuning pada semua sisi luarnya. Kemudian, kubus tersebut dipotong menjadi kubus kubus satuan. Berapakah banyak kubus kecil yang 2 sisinya berwarna kuning?",36,48,60,64,72,2,90,
Berapakah jumlah hari minggu pada tahun 2022?,48,49,50,51,52,5,60,
"Sebuah sekolah mengirim sebuah grup yang terdiri dari sejumlah guru, siswa, dan beberapa orang tua siswa. Setiap 25 siswa didampingi oleh 3 guru dan sisanya adalah orang tua siswa. Berapakah jumlah guru jika grup tersebut terdiri dari 700 orang?",74,75,76,77,78,2,60,
"Aku berada di lantai 2, turun 2 tingkat belok kanan, sekarang aku berada di lantai 9, naik 1 tingkat belok kiri, sekarang aku berada di lantai berapa?",5,7,3,2,8,1,90,
4 + 2 = 8; 9 + 3 = 702; 2 + 7 = 114; 3 + 5 = ?,96,228,496,512,748,2,120,
APPLE = 40; PEAR = 20; ORANGE = ?,20,30,40,50,60,2,90,
"A, C, F, J, O, U, ?",A,D,E,B,C,4,30,